Kommunnamn,RegSO,(sum)DEAD,(sum)DEAD_COVID_19,DEAD_per_pop,COVID_19_per_pop,ln_DEAD,ln_COVID_19,ln_DEAD_per_pop,ln_COVID_19_per_pop,Population
Ale,Alafors,27,0,0.02,0.00,3.30,,-4.12,,1661
Ale,Alvhem-Hålanda,23,0,0.01,0.00,3.14,,-4.56,,2207
Ale,Bohus,24,1,0.01,0.00,3.18,0.00,-4.72,-7.89,2682
Ale,Centrala Nödinge,22,3,0.01,0.00,3.09,1.10,-4.45,-6.45,1889
Ale,Centrala Älvängen,16,0,0.01,0.00,2.77,,-4.59,,1577
Ale,Nol,25,0,0.01,0.00,3.22,,-4.73,,2819
Ale,Norra Älvängen,29,2,0.02,0.00,3.37,0.69,-3.73,-6.40,1206
Ale,Skepplanda,16,0,0.01,0.00,2.77,,-4.73,,1816
Ale,Starrkärr-Kilanda-Ryd,6,1,0.00,0.00,1.79,0.00,-5.75,-7.55,1892
Ale,Surte,22,1,0.01,0.00,3.09,0.00,-4.82,-7.91,2718
Ale,Södra Nödinge,17,1,0.01,0.00,2.83,0.00,-4.52,-7.35,1561
Ale,Södra Älvängen,4,1,0.00,0.00,1.39,0.00,-6.08,-7.47,1751
Ale,Östra Nödinge,7,0,0.01,0.00,1.95,,-5.10,,1152
Alingsås,Alingsås centrum,26,6,0.01,0.00,3.26,1.79,-4.27,-5.74,1867
Alingsås,Alingsås nordöstra omland,4,1,0.00,0.00,1.39,0.00,-5.74,-7.12,1239
Alingsås,Alingsås norra omland,16,0,0.01,0.00,2.77,,-4.82,,1982
Alingsås,Alingsås västra omland,7,0,0.01,0.00,1.95,,-4.83,,880
Alingsås,Alingsås östra omland,9,1,0.01,0.00,2.20,0.00,-4.76,-6.96,1053
Alingsås,Bolltorp,18,2,0.01,0.00,2.89,0.69,-4.44,-6.64,1527
Alingsås,Brogården-Östlyckan,23,1,0.01,0.00,3.14,0.00,-4.21,-7.35,1555
Alingsås,Brunnsparken-Landskyrkan,58,7,0.03,0.00,4.06,1.95,-3.36,-5.47,1666
Alingsås,Gråbo-Ängabo,29,0,0.02,0.00,3.37,,-4.12,,1779
Alingsås,Hemsjö-Ödenäs,12,0,0.01,0.00,2.48,,-4.78,,1429
Alingsås,Ingared,13,1,0.01,0.00,2.56,0.00,-4.92,-7.48,1780
Alingsås,Kullingsberg-Rothoffskär,12,2,0.01,0.00,2.48,0.69,-5.15,-6.94,2059
Alingsås,Kvarnbacken-Enehagen,15,0,0.01,0.00,2.71,,-4.45,,1287
Alingsås,Lövekulle-Stadsskogen,5,0,0.00,0.00,1.61,,-5.64,,1414
Alingsås,Nolby-Sävelund,10,2,0.01,0.00,2.30,0.69,-4.68,-6.29,1074
Alingsås,Nolhaga-Hagagården,47,4,0.03,0.00,3.85,1.39,-3.46,-5.92,1493
Alingsås,Noltorp,15,1,0.01,0.00,2.71,0.00,-4.36,-7.07,1177
Alingsås,Nygård-Stockslycke,18,0,0.01,0.00,2.89,,-4.78,,2149
Alingsås,Prästeryd-Gerdsken,30,2,0.03,0.00,3.40,0.69,-3.67,-6.38,1174
Alingsås,Saxebäcken-Tegelbruket,8,0,0.01,0.00,2.08,,-4.80,,971
Alingsås,Sollebrunn,35,3,0.03,0.00,3.56,1.10,-3.64,-6.10,1333
Alingsås,Sörhaga-Gustav Adolf,27,2,0.02,0.00,3.30,0.69,-3.99,-6.60,1465
Alingsås,Västra bodarna-Hästeryd,10,0,0.01,0.00,2.30,,-4.91,,1354
Alvesta,Alvesta centrum,25,2,0.02,0.00,3.22,0.69,-4.11,-6.64,1525
Alvesta,Alvesta nordost,8,2,0.01,0.00,2.08,0.69,-4.94,-6.33,1122
Alvesta,Alvesta sydost,28,10,0.02,0.01,3.33,2.30,-3.93,-4.96,1432
Alvesta,Alvesta södra,18,2,0.01,0.00,2.89,0.69,-4.46,-6.66,1559
Alvesta,Alvesta västra,11,1,0.01,0.00,2.40,0.00,-4.90,-7.29,1470
Alvesta,Blädinge,11,0,0.01,0.00,2.40,,-4.57,,1057
Alvesta,Grimslöv,21,4,0.02,0.00,3.04,1.39,-4.13,-5.79,1305
Alvesta,Hjortsberga,10,0,0.01,0.00,2.30,,-4.75,,1157
Alvesta,Moheda-Torpsbruk,37,5,0.02,0.00,3.61,1.61,-3.97,-5.97,1958
Alvesta,Slätthög,14,0,0.01,0.00,2.64,,-4.28,,1007
Alvesta,Vislanda,23,3,0.01,0.00,3.14,1.10,-4.25,-6.28,1608
Alvesta,Västra Torsås,14,2,0.01,0.00,2.64,0.69,-4.21,-6.15,942
Aneby,Aneby nordvästra,10,1,0.01,0.00,2.30,0.00,-4.67,-6.97,1068
Aneby,Aneby västra omland,12,0,0.01,0.00,2.48,,-4.73,,1357
Aneby,Aneby östra,52,8,0.03,0.00,3.95,2.08,-3.61,-5.49,1930
Aneby,Aneby östra omland,9,1,0.01,0.00,2.20,0.00,-4.90,-7.09,1205
Arboga,Arboga landsbyggd norr,8,0,0.01,0.00,2.08,,-4.89,,1063
Arboga,Arboga landsbyggd syd,14,0,0.01,0.00,2.64,,-4.51,,1269
Arboga,Grindberga-Anneberg,18,2,0.01,0.00,2.89,0.69,-4.37,-6.56,1416
Arboga,Ladubackgärdena-Prästgärdet,16,2,0.01,0.00,2.77,0.69,-4.29,-6.37,1169
Arboga,Nästkvarn-Studrestaden,23,1,0.01,0.00,3.14,0.00,-4.25,-7.38,1605
Arboga,Sjukhusgärdet-Ekbacken,18,0,0.02,0.00,2.89,,-3.99,,977
Arboga,Strömsnäs-Brattberget,15,1,0.01,0.00,2.71,0.00,-4.75,-7.46,1734
Arboga,Vasastaden-Marieborg-Näsby,11,2,0.01,0.00,2.40,0.69,-4.29,-5.99,801
Arboga,Vinbäcken-Åbrinken-Söder,40,7,0.02,0.00,3.69,1.95,-3.81,-5.55,1807
Arjeplog,Arjeplog glesbygd,12,0,0.01,0.00,2.48,,-4.33,,915
Arjeplog,Arjeplog tätort,29,0,0.02,0.00,3.37,,-3.93,,1483
Arvidsjaur,Arvidsjaur centrala,48,0,0.04,0.00,3.87,,-3.33,,1343
Arvidsjaur,Arvidsjaur omland,19,1,0.01,0.00,2.94,0.00,-4.36,-7.31,1492
Arvidsjaur,Arvidsjaur västra,21,1,0.02,0.00,3.04,0.00,-4.08,-7.13,1247
Arvidsjaur,Arvidsjaur östra,8,0,0.01,0.00,2.08,,-5.01,,1196
Arvika,Arvika centrum-Högåsen-Degerängen,104,3,0.02,0.00,4.64,1.10,-3.73,-7.28,4334
Arvika,Dottevik-Östra Sund,10,1,0.01,0.00,2.30,0.00,-4.72,-7.02,1119
Arvika,Glava,6,0,0.01,0.00,1.79,,-4.95,,848
Arvika,Gunnarskog,27,0,0.02,0.00,3.30,,-4.12,,1666
Arvika,Haga-Agneteberg-Rosendal,54,0,0.01,0.00,3.99,,-4.26,,3831
Arvika,Jössefors-Västra Sund,8,0,0.01,0.00,2.08,,-4.88,,1056
Arvika,Mangskog-Brunskog,18,0,0.01,0.00,2.89,,-4.79,,2176
Arvika,Solvik-Taserud,50,1,0.02,0.00,3.91,0.00,-4.14,-8.05,3125
Arvika,Speke-Rackstad-Mötterud-Humlekil,12,0,0.01,0.00,2.48,,-4.54,,1129
Arvika,Stavnäs-Högerud,19,0,0.02,0.00,2.94,,-4.11,,1157
Arvika,Älgå-Ny,21,0,0.02,0.00,3.04,,-4.19,,1392
Askersund,Askersund omland norr,10,0,0.01,0.00,2.30,,-4.63,,1027
Askersund,Askersund omland söder,10,0,0.01,0.00,2.30,,-4.87,,1298
Askersund,Askersund omland väster,9,1,0.01,0.00,2.20,0.00,-4.91,-7.11,1226
Askersund,Askersund omland öster,13,0,0.01,0.00,2.56,,-4.60,,1297
Askersund,Askersund stad,75,5,0.02,0.00,4.32,1.61,-3.87,-6.57,3584
Askersund,Åsbro,16,0,0.01,0.00,2.77,,-4.30,,1174
Avesta,Avesta norra-Avesta västra-Karlbo,92,13,0.01,0.00,4.52,2.56,-4.29,-6.25,6709
Avesta,Avesta omland,37,1,0.01,0.00,3.61,0.00,-4.68,-8.29,3969
Avesta,Avesta södra-Avesta östra-Bengtsbo,77,4,0.01,0.00,4.34,1.39,-4.22,-7.17,5214
Avesta,Horndal,18,0,0.02,0.00,2.89,,-4.02,,1007
Avesta,Krylbo-Isaksbo-Mästerbo,27,1,0.01,0.00,3.30,0.00,-4.45,-7.74,2307
Bengtsfors,Bengtsfors centrum,18,2,0.01,0.00,2.89,0.69,-4.29,-6.49,1319
Bengtsfors,Bengtsfors norra kommundel,18,2,0.01,0.00,2.89,0.69,-4.55,-6.75,1710
Bengtsfors,Bengtsfors södra kommundel,36,1,0.02,0.00,3.58,0.00,-3.75,-7.34,1534
Bengtsfors,Bengtsfors-Sidan södra,34,1,0.02,0.00,3.53,0.00,-3.77,-7.30,1482
Bengtsfors,Billingsfors,21,1,0.02,0.00,3.04,0.00,-3.81,-6.86,952
Bengtsfors,Dals Långed,10,1,0.01,0.00,2.30,0.00,-4.83,-7.13,1255
Berg,Hackås,9,1,0.01,0.00,2.20,0.00,-4.61,-6.81,908
Berg,Hoverberg,10,1,0.01,0.00,2.30,0.00,-4.60,-6.91,998
Berg,Oviken,22,0,0.02,0.00,3.09,,-4.19,,1453
Berg,Rätan,20,2,0.02,0.00,3.00,0.69,-3.81,-6.11,900
Berg,Svenstavik,16,4,0.02,0.00,2.77,1.39,-4.03,-5.41,899
Berg,Åsarna,16,0,0.02,0.00,2.77,,-3.88,,777
Bjurholm,Bjurholms centralort,18,0,0.02,0.00,2.89,,-3.87,,863
Bjurholm,Bjurholms landsbygd,16,0,0.01,0.00,2.77,,-4.30,,1175
Bjuv,Billesholm norra,12,0,0.01,0.00,2.48,,-4.96,,1703
Bjuv,Billesholm södra,24,2,0.01,0.00,3.18,0.69,-4.23,-6.71,1647
Bjuv,Bjuv norra-Gunnarstorp,21,2,0.01,0.00,3.04,0.69,-4.50,-6.85,1896
Bjuv,Bjuv södra,15,0,0.01,0.00,2.71,,-4.55,,1425
Bjuv,Bjuv västra,12,0,0.01,0.00,2.48,,-4.87,,1558
Bjuv,Bjuv östra-Selleberga,38,7,0.03,0.00,3.64,1.95,-3.65,-5.34,1463
Bjuv,Ekeby västra,29,0,0.02,0.00,3.37,,-3.99,,1574
Bjuv,Ekeby östra,7,1,0.01,0.00,1.95,0.00,-5.24,-7.19,1326
Boden,Björkelund-Svartbjörnsbyn,4,0,0.00,0.00,1.39,,-5.51,,992
Boden,Boden Central,114,14,0.03,0.00,4.74,2.64,-3.48,-5.58,3704
Boden,Boden sydvästra landsbygd-Bredåker,19,1,0.01,0.00,2.94,0.00,-4.47,-7.41,1657
Boden,Bodsvedjan-Lejonbacken-Bodforsen,7,0,0.01,0.00,1.95,,-4.78,,832
Boden,Bodträskfors-Harads-Sandträsk,27,1,0.02,0.00,3.30,0.00,-3.71,-7.01,1103
Boden,Buddbyn-Syden-Skogså-Gunnarsbyn,18,2,0.01,0.00,2.89,0.69,-4.42,-6.61,1489
Boden,Lundagård-Sveafältet,13,2,0.01,0.00,2.56,0.69,-4.78,-6.65,1543
Boden,Norra Svartbyn-Fagernäs-Erikslund,42,4,0.02,0.00,3.74,1.39,-3.89,-6.24,2052
Boden,Prästholmen,17,0,0.01,0.00,2.83,,-4.40,,1391
Boden,Sanden-Torpgärdan,43,3,0.02,0.00,3.76,1.10,-4.12,-6.78,2634
Boden,Sävast-Sävastön-Gamla Sävast,20,3,0.01,0.00,3.00,1.10,-4.92,-6.81,2728
Boden,Södra Svartbyn-Gruvberget,11,2,0.01,0.00,2.40,0.69,-4.95,-6.66,1560
Boden,Trångfors-Heden-Vittjärv-Hamptjärnmoran,9,0,0.00,0.00,2.20,,-5.46,,2108
Bollebygd,Bollebygd tätort,59,0,0.02,0.00,4.08,,-4.14,,3698
Bollebygd,Bollebygd västra,12,0,0.01,0.00,2.48,,-4.69,,1302
Bollebygd,Bollebygd östra,7,0,0.01,0.00,1.95,,-4.72,,782
Bollebygd,Olsfors-Hultafors,4,0,0.00,0.00,1.39,,-5.37,,857
Bollebygd,Töllsjö,11,0,0.01,0.00,2.40,,-4.49,,985
Bollnäs,Arbrå landsbygd,18,0,0.01,0.00,2.89,,-4.51,,1638
Bollnäs,Arbrå tätort,45,0,0.02,0.00,3.81,,-3.76,,1926
Bollnäs,Björktjära-Framnäs,12,1,0.01,0.00,2.48,0.00,-4.80,-7.28,1453
Bollnäs,Bollnäs centrum,86,5,0.05,0.00,4.45,1.61,-3.01,-5.86,1748
Bollnäs,Bollnäs landsbygd,24,0,0.01,0.00,3.18,,-4.84,,3030
Bollnäs,Gärdet,17,0,0.01,0.00,2.83,,-4.76,,1989
Bollnäs,Höglunda-Brånan,17,1,0.01,0.00,2.83,0.00,-4.43,-7.27,1433
Bollnäs,Kilafors landsbygd,11,1,0.01,0.00,2.40,0.00,-4.93,-7.33,1525
Bollnäs,Kilafors-Sibo tätort,34,1,0.02,0.00,3.53,0.00,-3.72,-7.25,1408
Bollnäs,Ren,28,6,0.01,0.00,3.33,1.79,-4.43,-5.97,2349
Bollnäs,Rengsjö kommundel,12,0,0.01,0.00,2.48,,-4.49,,1069
Bollnäs,Säversta-Granberg-Hertsjö,14,0,0.01,0.00,2.64,,-4.69,,1523
Bollnäs,Sävsberg-Heden,20,0,0.02,0.00,3.00,,-4.14,,1259
Borgholm,Borgholm norra kommundelen,61,0,0.02,0.00,4.11,,-3.99,,3307
Borgholm,Borgholm södra kommundelen,24,2,0.01,0.00,3.18,0.69,-4.55,-7.03,2260
Borgholm,Borgholm-Köpingsvik,80,4,0.02,0.00,4.38,1.39,-3.89,-6.89,3920
Borlänge,Bulllermyren,17,4,0.01,0.00,2.83,1.39,-4.72,-6.16,1901
Borlänge,Forssa,20,1,0.01,0.00,3.00,0.00,-4.37,-7.36,1575
Borlänge,Gylle-Åselby-Färjegårdarna-Hytting,49,6,0.01,0.00,3.89,1.79,-4.53,-6.63,4536
Borlänge,Jakobsgårdarna-Paradiset-Nygårdsdalen,26,4,0.01,0.00,3.26,1.39,-4.69,-6.56,2823
Borlänge,Kupolen-Norra Backa-Hagalund-Ringen,66,13,0.02,0.00,4.19,2.56,-3.96,-5.59,3471
Borlänge,Lergärdet-Bergslagsbyn,52,10,0.02,0.00,3.95,2.30,-3.98,-5.63,2792
Borlänge,Medväga-Hönsarvet-Domnarvet-Barkagärdet-Islingby-Nyckelby,73,15,0.02,0.00,4.29,2.71,-3.87,-5.45,3484
Borlänge,Mjälga-Centrum,14,0,0.01,0.00,2.64,,-4.73,,1588
Borlänge,Repbäcken-Amsberg-Kvarnsveden,63,14,0.02,0.00,4.14,2.64,-3.87,-5.37,3008
Borlänge,Romme,44,7,0.03,0.00,3.78,1.95,-3.56,-5.39,1540
Borlänge,Skräddarbacken-Mats Knuts-Nygårdarna,26,4,0.01,0.00,3.26,1.39,-4.81,-6.68,3192
Borlänge,Södra Bullermyren-Norra Hagalund,15,2,0.01,0.00,2.71,0.69,-4.70,-6.72,1651
Borlänge,Tjärna Ängar,27,14,0.01,0.01,3.30,2.64,-4.26,-4.92,1914
Borlänge,Tolsbo-Strandbo-Sörbo-Repbäcken-Idkerberget-Halvarsgårdarna,18,2,0.01,0.00,2.89,0.69,-5.06,-7.25,2828
Borlänge,Torsång-Sunnanö-Uvberget-Fågelmyra-Oberget-Ornäs,18,3,0.01,0.00,2.89,1.10,-4.94,-6.74,2525
Borlänge,Östermalm,20,2,0.01,0.00,3.00,0.69,-4.58,-6.89,1960
Borlänge,Övre Tjärna,13,4,0.01,0.00,2.56,1.39,-4.91,-6.09,1760
Borås,Bergdalen-Norrmalm väst,16,1,0.01,0.00,2.77,0.00,-5.14,-7.91,2723
Borås,Borgstena Tämta,7,0,0.01,0.00,1.95,,-5.09,,1139
Borås,Borås centrum sydöst,54,6,0.01,0.00,3.99,1.79,-4.53,-6.73,5003
Borås,Bredared,8,2,0.01,0.00,2.08,0.69,-4.86,-6.25,1032
Borås,Brämhult,20,1,0.01,0.00,3.00,0.00,-4.89,-7.88,2657
Borås,Byttorp-Parkstaden,19,3,0.01,0.00,2.94,1.10,-4.76,-6.61,2227
Borås,Dalsjöfors,44,5,0.01,0.00,3.78,1.61,-4.26,-6.43,3102
Borås,Dammsvedjan,18,3,0.01,0.00,2.89,1.10,-4.71,-6.50,2002
Borås,Ekås-Hestra,60,12,0.02,0.00,4.09,2.48,-3.98,-5.59,3199
Borås,Fristad centrum,52,5,0.03,0.00,3.95,1.61,-3.63,-5.97,1964
Borås,Fristad omland,6,1,0.01,0.00,1.79,0.00,-4.78,-6.58,717
Borås,Fristad-Asklanda,8,0,0.01,0.00,2.08,,-5.07,,1274
Borås,Frufällan-Sparsör väst,5,0,0.00,0.00,1.61,,-5.56,,1294
Borås,Gånghester,16,0,0.01,0.00,2.77,,-4.44,,1355
Borås,Göta centrum-Kristineberg väst,20,1,0.01,0.00,3.00,0.00,-4.81,-7.80,2447
Borås,Hedared-Sandhult-Backabo,15,3,0.01,0.00,2.71,1.10,-4.73,-6.34,1698
Borås,Hulta centrum-Sörmarken,26,2,0.01,0.00,3.26,0.69,-4.41,-6.97,2135
Borås,Hulta syd-Trandared norr-Brotorp,47,4,0.01,0.00,3.85,1.39,-4.26,-6.72,3312
Borås,Hässleholmen väst,102,18,0.03,0.01,4.62,2.89,-3.39,-5.13,3033
Borås,Hässleholmen öst norr,26,2,0.01,0.00,3.26,0.69,-4.65,-7.21,2706
Borås,Kinnarumma-Fagerhult-Viskafors öst,22,0,0.02,0.00,3.09,,-3.71,,903
Borås,Kristineberg öst-Hedvigsborg,20,3,0.01,0.00,3.00,1.10,-4.47,-6.36,1741
Borås,Lugnet,26,6,0.01,0.00,3.26,1.79,-4.48,-5.95,2302
Borås,Målsryd-Aplared-Dannike,24,4,0.01,0.00,3.18,1.39,-4.71,-6.50,2654
Borås,Norrby,35,7,0.01,0.00,3.56,1.95,-4.44,-6.05,2973
Borås,Norrmalm norr,45,14,0.02,0.00,3.81,2.64,-4.16,-5.33,2890
Borås,Regementet,11,2,0.01,0.00,2.40,0.69,-4.53,-6.23,1016
Borås,Ryda-Alideberg-Knalleland,16,0,0.01,0.00,2.77,,-4.68,,1724
Borås,Rydboholm-Viskafors centrum,26,0,0.01,0.00,3.26,,-4.56,,2485
Borås,Rångedala,6,0,0.01,0.00,1.79,,-5.18,,1064
Borås,Salängen,9,0,0.01,0.00,2.20,,-4.54,,842
Borås,Sandared,38,2,0.01,0.00,3.64,0.69,-4.27,-7.22,2723
Borås,Sjöbo centrum,44,9,0.03,0.01,3.78,2.20,-3.69,-5.27,1754
Borås,Sjöbo norra,41,6,0.02,0.00,3.71,1.79,-4.11,-6.03,2492
Borås,Sjöbo-Johannelund,26,5,0.03,0.01,3.26,1.61,-3.52,-5.17,880
Borås,Sjömarken-Lundaskog,22,4,0.01,0.00,3.09,1.39,-4.90,-6.61,2960
Borås,Sparsör öst,6,1,0.01,0.00,1.79,0.00,-4.85,-6.64,765
Borås,Stadskärnan-Druvefors,39,6,0.01,0.00,3.66,1.79,-4.50,-6.37,3500
Borås,Svaneholm,11,0,0.01,0.00,2.40,,-4.34,,842
Borås,Svensgärde,10,2,0.01,0.00,2.30,0.69,-4.86,-6.47,1296
Borås,Södra Öresjö,12,4,0.01,0.00,2.48,1.39,-4.85,-5.95,1538
Borås,Trandared centrum,28,2,0.01,0.00,3.33,0.69,-4.27,-6.91,2007
Borås,Viared-Ramnaslätt-Tullen,22,3,0.01,0.00,3.09,1.10,-4.64,-6.63,2278
Borås,Viskafors västra omland,12,0,0.01,0.00,2.48,,-4.63,,1235
Borås,Viskafors östra omland,5,1,0.01,0.00,1.61,0.00,-4.98,-6.59,727
Borås,Äspered,4,0,0.01,0.00,1.39,,-5.21,,732
Borås,Östermalm,8,2,0.01,0.00,2.08,0.69,-5.01,-6.40,1203
Botkyrka,Albyberget,10,4,0.00,0.00,2.30,1.39,-6.02,-6.94,4118
Botkyrka,Albydalen,57,6,0.01,0.00,4.04,1.79,-4.83,-7.08,7163
Botkyrka,Brantbrink-Tullingeskog-Rörmossen,34,1,0.01,0.00,3.53,0.00,-4.75,-8.28,3938
Botkyrka,Eriksberg-Sturehov,29,3,0.01,0.00,3.37,1.10,-4.68,-6.95,3129
Botkyrka,Fittja,54,14,0.01,0.00,3.99,2.64,-4.78,-6.13,6415
Botkyrka,Grödinge,10,1,0.01,0.00,2.30,0.00,-5.13,-7.44,1698
Botkyrka,Hallunda,60,12,0.01,0.00,4.09,2.48,-4.37,-5.98,4740
Botkyrka,Kassmyra-Skäcklinge,11,2,0.00,0.00,2.40,0.69,-5.75,-7.46,3461
Botkyrka,Lanthem-Tullinge centrum-Tullingeberg,71,23,0.01,0.00,4.26,3.14,-4.26,-5.39,5025
Botkyrka,Norsborg,33,7,0.01,0.00,3.50,1.95,-5.09,-6.64,5373
Botkyrka,Riksten,15,4,0.01,0.00,2.71,1.39,-4.86,-6.18,1926
Botkyrka,Slagsta,29,5,0.01,0.00,3.37,1.61,-4.80,-6.56,3516
Botkyrka,Storvreten,37,3,0.01,0.00,3.61,1.10,-5.01,-7.52,5534
Botkyrka,Tullinge parkhem,9,3,0.00,0.00,2.20,1.10,-5.61,-6.70,2449
Botkyrka,Tullinge villastad,13,2,0.01,0.00,2.56,0.69,-5.21,-7.08,2374
Botkyrka,Tumba centrum-Segersjö-Sandstugan,50,11,0.01,0.00,3.91,2.40,-4.31,-5.82,3708
Botkyrka,Tuna,18,1,0.01,0.00,2.89,0.00,-4.49,-7.38,1598
Botkyrka,Uttran-Broäng,12,0,0.00,0.00,2.48,,-5.41,,2690
Botkyrka,Vretarna-Hamra,58,10,0.01,0.00,4.06,2.30,-4.27,-6.03,4158
Botkyrka,Vårsta,28,6,0.01,0.00,3.33,1.79,-4.34,-5.88,2149
Boxholm,Boxholm omnejd,11,1,0.01,0.00,2.40,0.00,-5.08,-7.48,1776
Boxholm,Boxholm västra,13,0,0.01,0.00,2.56,,-4.85,,1654
Boxholm,Boxholm östra,34,0,0.03,0.00,3.53,,-3.54,,1169
Bromölla,Bromölla omland,12,1,0.01,0.00,2.48,0.00,-4.56,-7.04,1143
Bromölla,Bromölla öster-Dalafuret,8,1,0.01,0.00,2.08,0.00,-5.23,-7.31,1496
Bromölla,Bromölla östra centrum-Åbylyckorna,34,0,0.02,0.00,3.53,,-4.12,,2103
Bromölla,Gualöv-Bromölla skogen-västra centrum Bromölla,38,2,0.02,0.00,3.64,0.69,-4.06,-7.01,2205
Bromölla,Ivetofta-Rökebacken,33,1,0.02,0.00,3.50,0.00,-3.71,-7.20,1344
Bromölla,Nymölla-Edenryd-Valje,10,1,0.01,0.00,2.30,0.00,-4.70,-7.01,1103
Bromölla,Näsum-Västanå,12,0,0.01,0.00,2.48,,-4.57,,1159
Bräcke,Bodsjö-Nyhem-Bräcke,15,6,0.02,0.01,2.71,1.79,-4.07,-4.98,876
Bräcke,Bräcke tätort,33,4,0.03,0.00,3.50,1.39,-3.67,-5.78,1299
Bräcke,Hällesjö-Håsjö,31,5,0.03,0.00,3.43,1.61,-3.57,-5.40,1102
Bräcke,Revsund,24,6,0.02,0.01,3.18,1.79,-3.81,-5.20,1088
Bräcke,Sundsjö,11,0,0.01,0.00,2.40,,-4.52,,1013
Burlöv,Burlöv södra,22,1,0.02,0.00,3.09,0.00,-4.11,-7.20,1335
Burlöv,Norra Åkarp,9,0,0.01,0.00,2.20,,-5.22,,1658
Burlöv,Svenshög-Elisetorp,43,3,0.01,0.00,3.76,1.10,-4.61,-7.27,4322
Burlöv,Södra Arlöv,32,3,0.02,0.00,3.47,1.10,-4.19,-6.56,2117
Burlöv,Södra Åkarp,50,12,0.02,0.00,3.91,2.48,-4.17,-5.59,3227
Burlöv,Tågarp,18,1,0.01,0.00,2.89,0.00,-4.93,-7.82,2499
Båstad,Båstad landsbygd,15,0,0.01,0.00,2.71,,-4.55,,1426
Båstad,Båstad västra,17,1,0.01,0.00,2.83,0.00,-4.62,-7.45,1728
Båstad,Grevie,15,0,0.02,0.00,2.71,,-4.17,,967
Båstad,Malen-Båstad,36,1,0.02,0.00,3.58,0.00,-4.02,-7.60,2005
Båstad,Torekov,17,1,0.02,0.00,2.83,0.00,-4.15,-6.98,1074
Båstad,Västra Förslöv,8,1,0.01,0.00,2.08,0.00,-4.68,-6.76,866
Båstad,Västra Karup-Hov,20,1,0.01,0.00,3.00,0.00,-4.46,-7.46,1736
Båstad,Östra Förslöv,17,0,0.02,0.00,2.83,,-4.17,,1103
Båstad,Östra Karup-Hemmeslöv,24,2,0.01,0.00,3.18,0.69,-4.41,-6.90,1975
Dals-Ed,Dals-Ed-Ed,34,4,0.02,0.00,3.53,1.39,-4.02,-6.16,1894
Dals-Ed,Dals-Ed-Äng,3,0,0.00,0.00,1.10,,-5.52,,747
Dals-Ed,Dals-Eds omland,7,1,0.00,0.00,1.95,0.00,-5.30,-7.25,1408
Danderyd,Danderyd centrala västra,46,6,0.01,0.00,3.83,1.79,-4.55,-6.58,4332
Danderyd,Danderyd centrala östra,24,2,0.01,0.00,3.18,0.69,-4.49,-6.98,2146
Danderyd,Danderyd västra,29,3,0.01,0.00,3.37,1.10,-4.96,-7.23,4145
Danderyd,Djursholm norra,53,9,0.01,0.00,3.97,2.20,-4.29,-6.06,3860
Danderyd,Djursholm södra,40,5,0.01,0.00,3.69,1.61,-4.46,-6.54,3446
Danderyd,Enebyberg,59,3,0.01,0.00,4.08,1.10,-4.27,-7.25,4221
Danderyd,Stocksund,31,4,0.01,0.00,3.43,1.39,-4.87,-6.91,4020
Degerfors,Degerfors centrum-Bruket,84,9,0.02,0.00,4.43,2.20,-3.84,-6.08,3927
Degerfors,Strömtorp-Degernäs,19,2,0.01,0.00,2.94,0.69,-4.85,-7.10,2420
Degerfors,Svartå-Solberga-Knutsbol,14,1,0.02,0.00,2.64,0.00,-3.98,-6.62,752
Degerfors,Åtorp-Högberg-Gräsmossen,10,1,0.01,0.00,2.30,0.00,-4.72,-7.02,1120
Dorotea,Dorotea omland,17,0,0.02,0.00,2.83,,-4.09,,1014
Dorotea,Dorotea tätort,28,0,0.02,0.00,3.33,,-3.73,,1164
Eda,Charlottenberg omland,24,0,0.02,0.00,3.18,,-4.16,,1539
Eda,Charlottenberg tätort,38,0,0.02,0.00,3.64,,-4.01,,2102
Eda,Koppom tätort-Koppom omland,15,0,0.01,0.00,2.71,,-4.49,,1343
Eda,Köla-Skillingmark,7,0,0.01,0.00,1.95,,-4.92,,955
Eda,Åmotfors tätort,23,0,0.02,0.00,3.14,,-3.93,,1175
Ekerö,Adelsö-Munsö-Västra Ekerön,15,3,0.01,0.00,2.71,1.10,-4.90,-6.51,2016
Ekerö,Ekebyhov-Träkvista-Väsby,31,2,0.01,0.00,3.43,0.69,-4.62,-7.36,3144
Ekerö,Ekerö centrum-Östra Ekerön,15,3,0.01,0.00,2.71,1.10,-4.93,-6.54,2080
Ekerö,Färingsö omland,16,2,0.01,0.00,2.77,0.69,-4.62,-6.70,1628
Ekerö,Kungsberga-Färentuna-Hilleshög,17,0,0.01,0.00,2.83,,-4.64,,1766
Ekerö,Lovön,7,2,0.01,0.00,1.95,0.69,-4.76,-6.01,815
Ekerö,Stenhamra,26,2,0.01,0.00,3.26,0.69,-4.69,-7.25,2820
Ekerö,Sundby-Ekerö sommarstad,4,0,0.00,0.00,1.39,,-5.70,,1192
Ekerö,Södra Färingsö,7,1,0.01,0.00,1.95,0.00,-5.08,-7.03,1130
Ekerö,Västra Sandudden-Lundhagen-Skärvik,13,4,0.01,0.00,2.56,1.39,-5.11,-6.29,2159
Ekerö,Älvnäs-Brunna-Närlunda,49,7,0.01,0.00,3.89,1.95,-4.27,-6.21,3498
